content,date,like,place,tags
#천지연폭포 저녁에 어디갈까 고민하다 갔던 곳낮에 가본적은 있는데 밤에는 처음 이었던 곳야경이 이뻐 잡생각은 잊고 셔터만 누를 수 있었던 곳👉풀샷 스토리#니콘으로찍다 #니콘d850 #nikon_imaging_korea,2021-01-26,214,천지연폭포,"['#천지연폭포', '#니콘으로찍다', '#니콘d850', '#nikon_imaging_korea']"
"프로 제주여행러🏝라면 이 정돈 즐겨야지😎남들과는 다른 짜릿함을 선사할 #매운맛여행🔥오늘부터 내 제주도 버킷리스트는 이거다,,👊#제주이색여행 #제주여행코스추천",2020-11-20,697,Jeju-do,"['#매운맛여행🔥오늘부터', '#제주이색여행', '#제주여행코스추천']"
#제주#제주특별시#제주도#제주도관광#여행스타그램🌳#우도#비양도#우도관광#투샷#혜연이랑#둘이서👫#3박4일#제주여행#제주마지막피드2020년 7월 25일(토)제주도 마지막피드!!사진 정말 많이 찍어서 정리하는데 시간이 많이 걸림😁 복귀비행기 탑승하고 출발하려니 기체이상으로 2시간 지연되서 다른비행기 옮겨타고!!😂😂 아줌마아저씨들 승무원한테 완전 난리치구~~지연시간동안 간식나눠주는 승무원 손이 덜덜덜😢 보기 안쓰러웠던??😣 김해공항 도착하고 지연보상금 계좌적고 갔는데 얼마주려나 네이버에 검색해보니 운임20프로 적혀있길래 우린 13000원짜리 표라 결제금액에서 주겠지 했더니 정가에서 보상해주나봄🤣 비행기표값보다 돈 더 많이 입금됨ㅋㅋ 날씨 예보가 시원찮아 어디가야할지 모르겠다만 내일부터 다시 2박3일 출동!!고고고😎,2020-07-30,507,,"['#제주', '#제주특별시', '#제주도', '#제주도관광', '#여행스타그램🌳', '#우도', '#비양도', '#우도관광', '#투샷', '#혜연이랑', '#둘이서👫', '#3박4일', '#제주여행', '#제주마지막피드2020년']"
"#제주#제주특별시#제주도#제주도관광#백패킹#섬패킹#등산#산스타그램🌳#제주백패킹#백패킹성지#우도#비양도#혜연이랑#둘이서👫#제주여행#등산#트레킹#mountain#koreamountain#hiking#hiker#amazingnature#naturetravel#outdoor#backpacking#backpacker#지난7월혜연이가 어제밤 통화중에 지난산행들 사진을 보는 중이라구 이쁜 사진이 많은데😛 왜 인스타피드 사진을 안 올린게 이렇게 많지?이사진 이쁘지 않냐구 물어본다~~🤔..""그건 사귀기 전이라 그당시에 투샷사진 혜연이가 못 올리게 해서 글차나😤""~~~~~~~~~~~~🤭🤭🤭with @k._.helen",2020-12-09,556,,"['#제주', '#제주특별시', '#제주도', '#제주도관광', '#백패킹', '#섬패킹', '#등산', '#산스타그램🌳', '#제주백패킹', '#백패킹성지', '#우도', '#비양도', '#혜연이랑', '#둘이서👫', '#제주여행', '#등산', '#트레킹', '#mountain', '#koreamountain', '#hiking', '#hiker', '#amazingnature', '#naturetravel', '#outdoor', '#backpacking', '#backpacker', '#지난7월혜연이가']"
#the3space #가족스냅.우리가족의 찐 행복💕.HM/Dress @jina_n_jay .📸 @the3space_snap ▪️ 카카오채널 : the3space.#제주스냅 #제주도스냅 #제주도가족스냅 #제주스냅the3space #리마인드웨딩 #제주도리마인드웨딩 #제주도가족사진 #제주도관광,2021-03-03,255,제주도,"['#the3space', '#가족스냅.우리가족의', '#제주스냅', '#제주도스냅', '#제주도가족스냅', '#제주스냅the3space', '#리마인드웨딩', '#제주도리마인드웨딩', '#제주도가족사진', '#제주도관광']"
"⠀어서오세요 제주도에🌴⠀지역 특산품/명소를 소개하는여행 가이드북에 제격인 «모양 리플렛»차별화된 유니크한 디자인으로확실한 홍보 효과를 누려보세요!⠀여행지, 신제품, 가게홍보, 메뉴판 등다양한 곳에 활용할 수 있어요❤︎ ⠀",2021-08-19,136,아이앤피,[]
#제주#제주특별시#제주도#제주도관광#성산읍#백패킹#섬패킹#등산#산스타그램🌳#제주백패킹#백패킹성지#우도#비양도#빛내림#혜연이랑#둘이서👫#3박4일#제주여행2020년 7월 24일(금)오늘 풍랑주의보에 잡혀서 우도 못빠져나감🤣🤣🤣🤣강제 비양도 2박째ㅋㅋ내일 아침 첫배로 나가도 부산복귀 비행기 시간 못 맞춘다는😂😂내일 언제 빠져나갈수 있을지 기약이 없어ㅠ 렌트카 추가요금 내고 연장신청하고 비행기 위약금 물고 취소하고ㅠㅠ제기랄😅오늘 아침 빛내림 사진들😎,2020-07-24,565,,"['#제주', '#제주특별시', '#제주도', '#제주도관광', '#성산읍', '#백패킹', '#섬패킹', '#등산', '#산스타그램🌳', '#제주백패킹', '#백패킹성지', '#우도', '#비양도', '#빛내림', '#혜연이랑', '#둘이서👫', '#3박4일', '#제주여행2020년']"
행복은 멀지 않은 곳에 있다며남양주-제주 700km,2021-05-19,293,사계바다,[]
.전쟁과 평화. ....#제주도 #jeju #제주도여행 #제주도한달살기 #제주한달살기 #한달살기 #제주여행 #제주도관광 #제주도관광지 #제주도관광지추천 #제주도여행지 #제주도여행지추천 #제주가볼만한곳 #제주도가볼만한곳 #김녕미로공원 #미로공원 #공원 #제주미로공원 #제주도미로공원 #고양이 #제주김녕미로공원 #인생샷 #인생사진 #프사 #프로필사진 #제주도김녕미로공원 #미로 #제주도좋다 #개냥이 #냥이,2021-06-25,216,김녕미로공원 Jeju Kimnyoung Maze Park,"['#제주도', '#jeju', '#제주도여행', '#제주도한달살기', '#제주한달살기', '#한달살기', '#제주여행', '#제주도관광', '#제주도관광지', '#제주도관광지추천', '#제주도여행지', '#제주도여행지추천', '#제주가볼만한곳', '#제주도가볼만한곳', '#김녕미로공원', '#미로공원', '#공원', '#제주미로공원', '#제주도미로공원', '#고양이', '#제주김녕미로공원', '#인생샷', '#인생사진', '#프사', '#프로필사진', '#제주도김녕미로공원', '#미로', '#제주도좋다', '#개냥이', '#냥이']"
#사진한잔의여유동화속을 산책해볼까동화속 같은 마을을 산책한하루⠀⠀,2021-08-19,,한동리 계룡동 정자,['#사진한잔의여유동화속을']
