content,date,like,place,tags
"#난산리다방 #가오픈마지막주. '이번주가 마지막 입니다.'. 제가 운영하는 곳에 구움과자를 판매하고 있어요. 특별한 재능이 있는건 아니고 특별한 재능이 분에게 배워서 2~3일에 한번씩 판매할 양을 반죽하고 직접 굽고 있습니다.. 다양한 맛을 경험해드리고 싶어서 고민 하던 중 서귀포 시내 최애 맛집 @cafe_nowhere_jeju 지금 여기 누님께서 추천해준 #르꼬르동블루 출신의 가루선생님(@garu_garu_baking)을 추천 받았어요.. 오픈 전주에 수업을 요청해서 오픈 3일 전에 처음 제과를 배웠고 한달 가량 계속 체크해주시며 이것저것 알게 모르게 모든것을 다 쏟아주셔서 지금의 맛있는 마들랜, 휘낭시에가 다방에서 판매되고 있어요.. 수업시간에 가르쳐준걸 반죽해보고 복습하면서 이게 맞나하며 연락하면 역시나 100% 아니고 다시 또 유선으로 배우고 있는데요. 한결같이 친절하게 가르침을 주시는 가루 선생님 감사하다는 말을 다시 전합니다.. 이번주 일요일까지가 가오픈 기간입니다. 가오픈 후 1주일은 공간 및 메뉴 재정비를 위해 닫을 예정이에요. 이번이 마지막은 아니지만 가오픈 어택을 마지막으로 하러오실 분들은 오늘부터 4일을 놓치지 마세요 🙏 남은 기간 연습 중인 마지막 구움과자인 무화과 미니파운드 케익을 판매할 예정이에요. . 가오픈은 이번주가 마지막 입니다!! 🙏언능 준비해서 오세요!! 😏 정식 오픈일은 다음주 중에 다시 공지드릴께요! 😍",2021-08-19,604,난산리다방,"['#난산리다방', '#가오픈마지막주.', '#르꼬르동블루']"
시댁 여자들만의 점심 회동이 있던날💚주한아빠 안테 주한이 맡겨두고 아침 일찍 달려 오는데자꾸 어깨가 들썩들썩ㅎㅎㅎ히비정식 클리어하고 베케와서 커피도 마시구요?🙊포토존에 줄서서 동서가 찍어준 사진👍🏻어머님이 왜 이렇게 살 빠졌냐고.. 요즘 잘 못챙겨 먹냐고 걱정하셨는데..(차마 바프 찍을거라고는 말 못해서 다이어트 열심히하고 있다고 둘러댐ㅎㅎ)건강하게 다이어트 하고 있으니 걱정마세요😅오늘 너무 행복했어요😊#베케#서귀포카페,2021-08-18,951,Jeju,"['#베케', '#서귀포카페']"
".💙 구좌 ""제주모랑"" 💙사장님들이 손수 만든 수제소품들이 가득~좋은향이 가득한 구좌의 예쁜 소품샵이야　제주스럽고 아기자기한 소품도 많고다양한 향의 디퓨저 맛집으로 핫함👀❣감성충전하러 가기 딱이쟈나,,🎀@세화해변 근처니까 꼭 들러볼것!📌저장필수　　✅제주시 구좌읍 세화리 구좌로 48✅010-2779-2947✅@Jejumorang　　#제주모랑 #제주소품샵 #세화소품샵 #제주기념품 #제주기념품샵 #구좌읍소품샵 #제주선물가게 #제주소품샵투어 #제주기념품가게 #제주선물추천 #제주시소품샵 #제주여행선물 #제주여행선물추천 #제주여행 #제주핫플 #제주가볼만한곳 #제주도소품샵 #세화가볼만한곳 #제주맛집 #제주도맛집 #서귀포맛집 #제주카페 #서귀포카페",2021-08-18,"1,036",,"['#제주모랑', '#제주소품샵', '#세화소품샵', '#제주기념품', '#제주기념품샵', '#구좌읍소품샵', '#제주선물가게', '#제주소품샵투어', '#제주기념품가게', '#제주선물추천', '#제주시소품샵', '#제주여행선물', '#제주여행선물추천', '#제주여행', '#제주핫플', '#제주가볼만한곳', '#제주도소품샵', '#세화가볼만한곳', '#제주맛집', '#제주도맛집', '#서귀포맛집', '#제주카페', '#서귀포카페']"
가로사진이 훨씬 더 어울리는 공간이라 이번 피드는 좀🤔일찍 가면 홀로 명상(Mindfulness)하기 좋은 공간🌿오후부터 밀려오는 커플들👩🏻‍🤝‍👨🏼 주의🤦🏻‍♂️#제주신상카페 #월정리카페 #아이엠더그라스,2021-08-18,"1,011",월정리해변,"['#제주신상카페', '#월정리카페', '#아이엠더그라스']"
💫.초록색 가득.카페 초록달과자점제주 제주시 애월읍 납읍로2길 35-4.#드디어나도🙌#이런곳에서살고싶다🏡,2021-08-19,"1,029",초록달과자점,"['#드디어나도🙌', '#이런곳에서살고싶다🏡']"
@uniqcong_official #유니콩💚👖,2021-08-19,"1,388","우도 牛岛 Udo Island, South Korea",['#유니콩💚👖']
.#연동 #모니카옛날통닭간판부터 맛집포스 작렬하는 찐맛집이젠 인생치킨이라고 말하기도 입아픔@칭구야 올때 포장해와@주소 : 제주 제주시 신대로10길 33..#제주맛집 #제주도맛집 #제주공항근처맛집 #제주시맛집 #애월맛집 #중문맛집 #제주공항맛집 #서귀포맛집 #산방산맛집 #신제주맛집 #제주시청맛집 #제주애월맛집 #월정리맛집 #제주여행 #제주핫플,2021-08-19,"1,271",,"['#연동', '#모니카옛날통닭간판부터', '#제주맛집', '#제주도맛집', '#제주공항근처맛집', '#제주시맛집', '#애월맛집', '#중문맛집', '#제주공항맛집', '#서귀포맛집', '#산방산맛집', '#신제주맛집', '#제주시청맛집', '#제주애월맛집', '#월정리맛집', '#제주여행', '#제주핫플']"
찍고보니 깔맞춤이란 이런것?ㅋㅋㅋ제주의 낮은 따스하고밤은 시원하고 날씨가 최고로좋은 지금이어요^^ 골프 열심히쳐서너어무 탄게 문제 프히히💙#제주여행,2021-08-19,571,,['#제주여행']
하루종일 파란 날 요즘 내 짝꿍 오코백이랑 .. 🧵🪡🤍🤍🤍 (feat 오트에코백),2021-08-18,"2,587",,[]
"마라도드디어 찍었다!! 음하하하~마라도 해물톳짬뽕,톳짜장,흑돼지탕수육행복하여라~~~날이 너~~무 좋아서땀흘리며 한바꾸했지만 그냥 좋으다.톳짜장 생각보다 좋았고 짬뽕은 ㅎㅎ국물맛은 우도짬뽕 보다는 건강한맛?ㅎㅎ 흑돼지탕수육은...진짜 별것 안들어갔는데 고기맛이 아주그냥 나이쓰~~~너무 담백해♡ 쪼아쪼아 마라도. 건강한섬! 최남단의 외로운섬!자연의섬! 화려함없는 소박한섬!싸릉합니돵~♡♡♡#제주도 #마라도 #최남단 #자연의품 #순백의땅 #좋다 #볼것없이 #느낌충만한 #바다만 #보아도 #좋다#제주여행 #해산물톳짬뽕 #톳짜장#흑돼지탕수육 #마라도짜장면#맛집 #멋집 #최고 #일상그램",2021-08-19,1,,"['#제주도', '#마라도', '#최남단', '#자연의품', '#순백의땅', '#좋다', '#볼것없이', '#느낌충만한', '#바다만', '#보아도', '#좋다', '#제주여행', '#해산물톳짬뽕', '#톳짜장', '#흑돼지탕수육', '#마라도짜장면', '#맛집', '#멋집', '#최고', '#일상그램']"
