,title,date,content
0,넷플릭스 로맨틱 코미디 영화 추천 10편 소개해요,2021.08.13.,넷플릭스 로맨틱 코미디 영화 추천 10편 소개해요 오늘은 금요일. 불금이 될 것 같지는 않고 늘 그렇듯... 오늘은 그중에서도 사람들의 선호도가 높은 로맨틱 코미디 영화 목록이다. 총 열개를 선정해보았고 뽑은건 전부...
1,추석엔 한국 영화라는 공식은?_9월 개봉 예정 영화 추천 9 [+1 넷플릭스 신작],어제,추석엔 한국 영화라는 공식은?_9월 개봉 예정 영화 9 진짜 9월이 바로 코앞입니다. 감흥은 크지 않았지만 여름휴가도 지났고 민족 대명절 추석까지 돌아왔네요. 9월 개봉 예정 영화의 라인업을 보면 추석 = 한국 영화라는...
2,"넷플릭스 19영화 추천-주말 밤, 몰래봐야 하는 파격적인 미친 사랑을 다룬 청불 영화 6편",2021.08.21.,"오늘은 장마 기간 집에서 혼자, 혹은 연인들이 볼만한 넷플릭스 청불 영화 몇 편에 대해 소개하려 합니다. 장마 기간 시즌 2 시작, 집에서 보면 좋을 넷플릭스 19금 영화 6편 라이드 오어 다이(RIDE OR DIE, 2021) 감독-히로키..."
3,넷플릭스 오리지널 영화 스위트 걸 리뷰 * 제목이 스포였어!,2021.08.22.,이럴 땐 집중력을 요하는 책 읽기보단 멍 때리며 볼 수 있는 영화가 낫지! 역시나 신작 위주로 골라 보자는 생각에 20일에 공개된 영화 <스위트 걸>을 택했다. 무려 <아쿠아 맨>의 '제이슨 모모아'가 출연하는 영화니까 킬링...
4,"이게 뉴스야, 영화야? 극 현실주의라 더 무서운 국내 재난 영화",2021.08.11.,"재난 영화에서나 일어날 법한 일이 현실이 되고, 그것이 일상이 되어버린 요즘. 또 한 편의 재난 영화가 스크린에 찾아왔다. 지하 500m 싱크홀 속으로 떨어진 이들의 고군분투를 그린 영화 <싱크홀>이 바로 그것. 도심 속..."
5,공포부터 스릴러! 심장 벌렁하게 만드는 넷플릭스 영화 추천 4,2021.08.06.,"아무리 혼자서 집콕을 해도 재밌는 영화들로 구성된 콘텐츠. 공포부터 스릴러! 심장 벌렁하게 만드는 넷플릭스 영화 추천작 4편을 준비했으니 저와 바로 살펴볼까요? 심연 감독 제임스 카메론 출연 에드 해리스, 메리..."
6,넷플릭스 영화 추천 그런데 실화를 곁들인,7일 전,최근 실화를 바탕으로 한 영화 모가디슈가 개봉해서 좋은 성적을 거두고 있다. 실화 바탕 영화는 다 보고 나서 관련 이야기를 찾아보는 재미도 쏠쏠한데 그래서 준비했다. 실화 기반의 넷플릭스 영화 추천! 1. 컨저링 2013년...
7,"영화 기록, 여름에서 가을의 문턱까지",16시간 전,"영상미와 음악 등 전체적인 분위기와 바네사 커비의 연기는 좋았으나 영화의 중추가 뒤로 갈수록 맥을... 크루엘라 (1-2차) Cruella, 2021 강력한 한 방은 없었지만 눈도 귀도 참 즐거웠던 영화. 다른 것이 틀린 것이..."
8,온국민이 '차며들던' 2000년대 차승원 주연 영화들,2021.04.20.,화제의 영화 <낙원의 밤>에서 마 이사를 연기하는 차승원을 보며 문득 생각했다. 차승원이란 배우는 정말... 그래서 그가 코미디 영화의 황제로 정점을 찍은 2000년대 출연작을 정리했다. 그의 출연작을 보며 자란 '차승원...
9,로맨틱코미디 영화 비교:) 굿럭척+완벽한 그녀에게 딱한가지 없는 것,4일 전,"2000년대 초반 지금 봐도 재미있는 로맨틱 코미디 영화들이 참 많이 있는데요 오늘은 비슷한 소재의 볼만한 두편의 영화를 소개하려고 합니다. 바로 영화 완벽한 그녀에게 딱 한가지 없는것과 굿 럭 척, 이미 TV에서 많이..."
10,마음의 위로가 되는 잔잔한 영화 추천 3선,3일 전,집콕하며 하는 힐링이 전부인데 이럴 때는 영화라도 보는 게 최고이지 않나 싶어요. 그래서 오늘은 힐링도 하고 위로도 받을 수 있는 잔잔한 영화 추천을 해드리려고 합니다! 너무 자극적인 액션물보다 훨씬 편안하게...
11,"""어서와 가을!"" - 최신등급분류영화 (2021.08.18.~08.31.)",2021.08.18.,"[등급뉴스] ""어서와 가을!"" - 최신등급분류영화 (2021.08.18.~08.31.) 지난 8월 7일은 ‘입추(立秋)’였습니다.... 고등학교 남녀 학생들의 사랑과 우정, 그리고 성 정체성에 대한 고민을 그린 영화 <남색대문>, 어머니의 죽음과..."
12,"왓챠 영화 추천, 놀라운 배우들의 실화 영화를 살펴보자",2021.08.15.,* 왓챠 영화 추천 5편 안녕하세요. 마시우입니다. 해외 기사를 살피던 중 리들리 스콧 감독의 신작 <하우스... 그중 왓챠에서 볼 수 있는 실화 영화가 무려 5편이나 포함돼 있었습니다. 그리하여 오늘 준비한 이야기는...
13,"한여름의 시작에 앞서, 여름 내음 물씬 풍기는 영화 12선",2021.06.25.,"영화 <보희와 녹양> 스틸 이미지 한여름의 시작에 앞서, 여름 내음 물씬 풍기는 영화 12선 <분노>, <톰보이>, <플로리다 프로젝트>, <보희와 녹양>, <썸머85>, <소년시절의 너>, <프리다의 그해 여름>, <소년들>, <우리들>, <우리집..."
